Records.Breached,Records.Breached...Detail,Name,CatID,Total.Records,Region,Contact..etc.,Category_dm,Entity_prc,State,OrgID,Location,Date.Made.Public,Year,Source.of.Breach.Notification,Type,Description,Example (HTML),
NA,Unknown,Walgreens Co.,3,,Midwest,,Pharmacy,BSR,Illinois,100109500,Deerfield,3/11/2011,2011,PHIPrivacy.net,INSD,"According to a complaint filed against Walgreens, Walgreens sold confidential information of customers to data mining companies who resold it to pharmaceutical companies. Walgreens is accused of receiving payment for prescription information that only patients had the right to sell. Walgreens sells patient data that includes sex, age group, state, ID number of the providing doctor and the name of the drug that is taken.","'<b>Walgreens Co.</b> had a data breach in 2011, in Illinois. According to a complaint filed against Walgreens, Walgreens sold confidential information of customers to data mining companies who resold it to pharmaceutical companies. Walgreens is accused of receiving payment for prescription information that only patients had the right to sell. Walgreens sells patient data that includes sex, age group, state, ID number of the providing doctor and the name of the drug that is taken. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
8845,"8,845",Omnicare Inc.,3,"8,845",Southeast,The location listed is the headquarters. ÌÇ_The breach affected patients in South Carolina.ÌÇ_Those with questions may call a representative at 800-949-6337 ext 10622.,Pharmacy,MED,Kentucky,100068900,Covington,4/29/2011,2011,PHIPrivacy.net,PORT,,"'<b>Omnicare Inc.</b> had a data breach in 2011, in Kentucky.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,CVS/Caremark,3,350,NA,NA,Pharmacy,BSR,Georgia,200000156,Atlanta,30-Jul-14,2014,Media,DISC,,"'<b>CVS/Caremark</b> had a data breach in 2014, in Georgia.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
100000,100000,"Crescent Health Inc., Walgreens",3,100000,West,,Pharmacy,MED,California,100021800,Anaheim,2/22/2013,2013,California Attorney General,STAT,"Desktop computer hardware was stolen from the Anaheim Billing Center of Crescent Healthcare, Inc. on December 28, 2012. The theft was discovered on Monday, December 31 and reported to law enforcement. Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed.UPDATE(04/03/2013): Over 100,000 people were affected.","'<b>Crescent Health Inc., Walgreens</b> had a data breach in 2013, in California. Desktop computer hardware was stolen from the Anaheim Billing Center of Crescent Healthcare, Inc. on December 28, 2012. The theft was discovered on Monday, December 31 and reported to law enforcement. Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed.UPDATE(04/03/2013): Over 100,000 people were affected. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Several Indianapolis pharmacies,3,,Midwest,,Pharmacy,MED,Indiana,100083300,Indianapolis,9/22/2006,2006,Media,PHYS,Earlier this year a local  tV reporter from WTHR found that dozens of pharmacies  disposed of customer records in unsecured garbage bins. Now the Indiana  board of Pharmacy has launched an investigation of 30 pharmacies.  both the Board and the Attorney General say that the pharmacies violated  state law.,"'<b>Several Indianapolis pharmacies</b> had a data breach in 2006, in Indiana. Earlier this year a local  tV reporter from WTHR found that dozens of pharmacies  disposed of customer records in unsecured garbage bins. Now the Indiana  board of Pharmacy has launched an investigation of 30 pharmacies.  both the Board and the Attorney General say that the pharmacies violated  state law. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,Evolution Nature Corp. dba The Evolution Store,3,0,NA,NA,Pharmacy,BSR,New York,200000218,Manhattan,9-Oct-14,2014,California Attorney General,HACK,"Evolution Nature Corp., dba The Evolution Store contacted customers regarding a data breach to their online stores affecting customer credit card information.The company received a complaint of credit card fraud from a customer and launched an investigation by a data forensics expert. The investigation revealed that the administrative portion of the Evolution e-commerce site was accessed by an unauthorized third party that was using administrative credentials exposing customer order information.The information exposed included names, email addresses, phone numbers, billing addresses, shipping addresses, order information, and credit/debit card information, including the CVV numbers on the backs of the cards.For those affected, the company is offering AllClear Secure for 12 months at no cost. ","'<b>Evolution Nature Corp. dba The Evolution Store</b> had a data breach in 2014, in New York. Evolution Nature Corp., dba The Evolution Store contacted customers regarding a data breach to their online stores affecting customer credit card information.The company received a complaint of credit card fraud from a customer and launched an investigation by a data forensics expert. The investigation revealed that the administrative portion of the Evolution e-commerce site was accessed by an unauthorized third party that was using administrative credentials exposing customer order information.The information exposed included names, email addresses, phone numbers, billing addresses, shipping addresses, order information, and credit/debit card information, including the CVV numbers on the backs of the cards.For those affected, the company is offering AllClear Secure for 12 months at no cost.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,955 (No SSNs or financial information reported),CVS Caremark,3,,Northeast,,Pharmacy,MED,Rhode Island,100022100,Woonsocket,12/4/2012,2012,HHS via PHIPrivacy.net,PHYS,The information was breached via Paper/Films.,"'<b>CVS Caremark</b> had a data breach in 2012, in Rhode Island. The information was breached via Paper/Films. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,LaCie USA,3,0,NA,NA,Pharmacy,BSR,Oregon,200000044,Tigard,11-Apr-14,2014,California Attorney General,HACK,The information was breached via Website.,"'<b>LaCie USA</b> had a data breach in 2014, in Oregon. The information was breached via Website. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Walgreens,3,,West,"At least 36 Walgreens stores in San Diego County had violations. ÌÇ_Over 600 Walgreens stores in California counties such as Alameda, Riverside, Los Angeles, San Joaquin, Solano, Monterey, and Yolo were also involved in the lawsuit.",Pharmacy,BSR,California,100109300,San Diego,12/13/2012,2012,PHIPrivacy.net,PHYS,"Names, dates of birth and Social  security numbers of roughly 28,000 state retirees were e-mailed to the  kentucky Retirement Systems without being properly encrypted for security  purposes by its pharmacy benefit provider. The e-mail contained dates  of birth, Social Security numbers and health insurance claim numbers  but not personal health information. The file contained information  only on members who were both Medicare-eligible and used the retiree  pharmacy benefit through Walgreens in 2007.","'<b>Walgreens</b> had a data breach in 2012, in California. Names, dates of birth and Social  security numbers of roughly 28,000 state retirees were e-mailed to the  kentucky Retirement Systems without being properly encrypted for security  purposes by its pharmacy benefit provider. The e-mail contained dates  of birth, Social Security numbers and health insurance claim numbers  but not personal health information. The file contained information  only on members who were both Medicare-eligible and used the retiree  pharmacy benefit through Walgreens in 2007. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,Rite Aid,3,0,NA,NA,Pharmacy,BSR,Pennsylvania,200002721,Camp Hill,19-May-17,2017,Media,HACK,"Pharmacy chain Rite Aid has discovered unauthorized individuals gained access to the e-commerce platform of its online store and stole sensitive information of its customers over a period of 10 weeks. The attackers gained access to, and stole, personal information and credit/debit card details.An investigation into the breach revealed that access to the platform was first gained on January 30, 2017 and continued until April 11, 2017 when the intrusion was detected and unauthorized access was blocked.During the time that unauthorized individuals had access to its e-commerce platform they obtained customers names, addresses and payment card information including card numbers expiry dates and CVV numbers.† The incident impacts all customers who used the online store between the above dates and manually entered their payment card details.","'<b>Rite Aid</b> had a data breach in 2017, in Pennsylvania. Pharmacy chain Rite Aid has discovered unauthorized individuals gained access to the e-commerce platform of its online store and stole sensitive information of its customers over a period of 10 weeks. The attackers gained access to, and stole, personal information and credit/debit card details.An investigation into the breach revealed that access to the platform was first gained on January 30, 2017 and continued until April 11, 2017 when the intrusion was detected and unauthorized access was blocked.During the time that unauthorized individuals had access to its e-commerce platform they obtained customers names, addresses and payment card information including card numbers expiry dates and CVV numbers.† The incident impacts all customers who used the online store between the above dates and manually entered their payment card details. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Winn-Dixie,3,,Southeast,,Pharmacy,MED,Mississippi,100112200,Pascagoula,6/23/2007,2007,Dataloss DB,PHYS,"Pharmacy documents  were found behind a closed Winn-Dixie grocery store, containing telephone numbers,  social Security numbers and addresses of thousands of individuals. Apparently when the grocery store/pharmacy closed, employees put bundles of documents outside to be picked up. However, they were never retrieved.","'<b>Winn-Dixie</b> had a data breach in 2007, in Mississippi. Pharmacy documents  were found behind a closed Winn-Dixie grocery store, containing telephone numbers,  social Security numbers and addresses of thousands of individuals. Apparently when the grocery store/pharmacy closed, employees put bundles of documents outside to be picked up. However, they were never retrieved. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,"2,900 (No SSNs or financial information reported)",RIte Aid Corporation,3,,Northeast,,Pharmacy,BSR,Pennsylvania,100079700,Harrisburg,1/12/2012,2012,HHS via PHIPrivacy.net,PHYS,"Rite Aid paid one million dollars to settle HIPAA privacy violations. Rite Aid also agreed to update corporate policies and procedures so that patient medical information would be properly disposed, employees would be properly trained in disposal of patient information, and employees would be held accountable if they did not dispose of patient information properly.","'<b>RIte Aid Corporation</b> had a data breach in 2012, in Pennsylvania. Rite Aid paid one million dollars to settle HIPAA privacy violations. Rite Aid also agreed to update corporate policies and procedures so that patient medical information would be properly disposed, employees would be properly trained in disposal of patient information, and employees would be held accountable if they did not dispose of patient information properly. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,Rite Aid Pharmacy,3,521,NA,NA,Pharmacy,BSR,Washington,200000157,Milton ,30-Jul-14,2014,Media,PHYS,"Rite Aid Pharmacy in Milton Washington notified customer of a data breach, when someone stole a"" stack of expired prescription records from a Rite Aid pharmacy in Milton, the company announced Wednesday"".","'<b>Rite Aid Pharmacy</b> had a data breach in 2014, in Washington. Rite Aid Pharmacy in Milton Washington notified customer of a data breach, when someone stole a"" stack of expired prescription records from a Rite Aid pharmacy in Milton, the company announced Wednesday"". [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,CVS Pharmacies,3,,Northeast,http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/cvsresolutionagreement.html,Pharmacy,MED,Rhode Island,100022400,Woonsocket,2/18/2009,2009,Dataloss DB,PHYS,"The CVS Pharmacy chain, the largest  in the country with 6,300 outlets, has agreed to a $2.25 million settlement  with the U.S. Dept. of Health and Human Services. Indianapolis TV  station WTHR engaged in an extensive investigation beginning in 2006  of local CVS Pharmacies and their pharmacies in other cities nationwide  including Boston, Chicago, Cleveland, Detroit, Dallas, Louisville,  miami, New Haven (Conn.), Philadelphia, Phoenix, and CVS headquarters  in Woonsocket, RI. They found that CVS pharmacies were disposing of  documents, such as labels from prescription bottles and old prescriptions,  in unsecured dumpsters. The HHSs Office of Civil Rights charged that  cVS failed to implement adequate policies and procedures to  reasonably and appropriately safeguard protected health information  during the disposal process failed to adequately train employees  on how to dispose of such information properly and did not maintain  and implement a sanctions policy for members of its workforce who  failed to comply with its disposal policies and procedures.  in a coordinated action, CVS Caremark Corporation, the parent company  of the chain, also signed a consent order with the Federal Trade Commission  to settle potential violations of the FTC Act. UPDATE  (7/16/09): A state board has given final approval  to settlements with Indianas two largest drugstore chains for leaving  patient information in the trash. CVS has paid a $2.25 million fine  to settle a probe by the U.S. Office of Civil Rights. Also CVS will  donate $1,000 to charity as part of the state settlement.","'<b>CVS Pharmacies</b> had a data breach in 2009, in Rhode Island. The CVS Pharmacy chain, the largest  in the country with 6,300 outlets, has agreed to a $2.25 million settlement  with the U.S. Dept. of Health and Human Services. Indianapolis TV  station WTHR engaged in an extensive investigation beginning in 2006  of local CVS Pharmacies and their pharmacies in other cities nationwide  including Boston, Chicago, Cleveland, Detroit, Dallas, Louisville,  miami, New Haven (Conn.), Philadelphia, Phoenix, and CVS headquarters  in Woonsocket, RI. They found that CVS pharmacies were disposing of  documents, such as labels from prescription bottles and old prescriptions,  in unsecured dumpsters. The HHSs Office of Civil Rights charged that  cVS failed to implement adequate policies and procedures to  reasonably and appropriately safeguard protected health information  during the disposal process failed to adequately train employees  on how to dispose of such information properly and did not maintain  and implement a sanctions policy for members of its workforce who  failed to comply with its disposal policies and procedures.  in a coordinated action, CVS Caremark Corporation, the parent company  of the chain, also signed a consent order with the Federal Trade Commission  to settle potential violations of the FTC Act. UPDATE  (7/16/09): A state board has given final approval  to settlements with Indianas two largest drugstore chains for leaving  patient information in the trash. CVS has paid a $2.25 million fine  to settle a probe by the U.S. Office of Civil Rights. Also CVS will  donate $1,000 to charity as part of the state settlement. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,CVS Health,3,"12,914",NA,NA,Pharmacy,MED,Rhode Island,200001627,,26-Jun-15,2015,US Department of Health and Human Services,PHYS,"The information was breached via Desktop Computer.","'<b>CVS Health</b> had a data breach in 2015, in Rhode Island. The information was breached via Desktop Computer. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,CVS Health,3,724,NA,NA,Pharmacy,MED,Rhode Island,200002122,,8-Mar-17,2017,US Department of Health and Human Services,PHYS,"The information was breached via Paper/Films.","'<b>CVS Health</b> had a data breach in 2017, in Rhode Island. The information was breached via Paper/Films. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,"3,482 (No SSNs or financial information reported)",CVS Caremark,3,,Northeast,,Pharmacy,BSR,Rhode Island,100022200,Woonsocket,3/24/2012,2011,PHIPrivacy.net,DISC,"The theft of paper records may have resulted in the exposure of patient information. The theft may have occurred on August 13, 2012 and was reported or discovered on November 16, 2012.","'<b>CVS Caremark</b> had a data breach in 2011, in Rhode Island. The theft of paper records may have resulted in the exposure of patient information. The theft may have occurred on August 13, 2012 and was reported or discovered on November 16, 2012. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,Walgreens.com,3,,Midwest,,Pharmacy,BSR,Illinois,100109700,Deerfield,7/13/2011,2011,PHIPrivacy.net,DISC,"Walgreens customers saw the prescription information of other customers when they attempted to log into their accounts on the Walgreens.com site. The website problem existed for at least two months and also allowed customers to see the phone numbers, names of prescribing doctors, names of medications, the amount the prescriptions were purchased for and the dates of the purchases. A customer alerted a local store to the problem, but had to contact the media when the problem persisted two months later.","'<b>Walgreens.com</b> had a data breach in 2011, in Illinois. Walgreens customers saw the prescription information of other customers when they attempted to log into their accounts on the Walgreens.com site. The website problem existed for at least two months and also allowed customers to see the phone numbers, names of prescribing doctors, names of medications, the amount the prescriptions were purchased for and the dates of the purchases. A customer alerted a local store to the problem, but had to contact the media when the problem persisted two months later. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,Rite Aid,3,0,NA,NA,Pharmacy,BSR,Pennsylvania,200002506,Camp Hill,17-May-17,2014,Maryland Attorney General,HACK,,"'<b>Rite Aid</b> had a data breach in 2014, in Pennsylvania.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
4600,"4,600",Medco Health Solutions,4,"4,600",Midwest,,Pharmacy Benefits Manager,MED,Ohio,100055300,Columbus,3/1/2006,2006,Dataloss DB,PORT,"A laptop containing  social Security numbers for State of Ohio employees and their dependents,  as well as their birth dates and, in some cases, prescription drug  histories was stolen from an employee. The theft occurred in December and Medco contacted Ohio officials in February. The company agreed to provide free credit monitoring and fraud alert services for the affected families for one year.","'<b>Medco Health Solutions</b> had a data breach in 2006, in Ohio. A laptop containing  social Security numbers for State of Ohio employees and their dependents,  as well as their birth dates and, in some cases, prescription drug  histories was stolen from an employee. The theft occurred in December and Medco contacted Ohio officials in February. The company agreed to provide free credit monitoring and fraud alert services for the affected families for one year. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,Unknown,"Express Scripts, Ernst & Young",4,,Midwest,,Pharmacy Benefits Manager,BSF,Missouri,100028100,St. Louis,2/18/2013,2013,Media,DISC,"A partner at Ernst & Young is accused of sneaking into the headquarters of Express Scripts Holding Co. It is not clear how the Ernst & Young partner got into the headquarters, but it is believed that he emailed over 20,000 pages of data to a personal account. Express Scripts Holding Co. accused Ernst & Young of stealing the information in order to develop its health care division. Express Scripts Holding filed a lawsuit; the accused partner is no longer employed by Ernst & Young.","'<b>Express Scripts, Ernst & Young</b> had a data breach in 2013, in Missouri. A partner at Ernst & Young is accused of sneaking into the headquarters of Express Scripts Holding Co. It is not clear how the Ernst & Young partner got into the headquarters, but it is believed that he emailed over 20,000 pages of data to a personal account. Express Scripts Holding Co. accused Ernst & Young of stealing the information in order to develop its health care division. Express Scripts Holding filed a lawsuit; the accused partner is no longer employed by Ernst & Young. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
531400,531400,Virginia Prescription Monitoring Program,4,531400,Southeast,,Pharmacy Benefits Manager,MED,Virginia,100108400,Richmond,5/4/2009,2009,Media,HACK,The information was breached via Network Server.,"'<b>Virginia Prescription Monitoring Program</b> had a data breach in 2009, in Virginia. The information was breached via Network Server. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
2900000,2900000,"Georgia Department of Community Health, Affiliated Computer Services (ACS)",5,2900000,Southeast,"http://dch.georgia.gov/vgn/images/portal/cit_1210/19/38/80010015Public_Notice-Missing_Personal_Data.pdf, (866) 213-3969 ",Clearing House,GOV,Georgia,100032800,Atlanta,4/10/2007,2007,Dataloss DB,PORT,"A computer disk containing  personal information including addresses, birthdates, dates of eligibility,  full names, Medicaid or childrens health care recipient identification  numbers, and Social Security numbers went missing from a private vendor,  affiliated Computer Services (ACS), contracted to handle health care  claims for the state.","'<b>Georgia Department of Community Health, Affiliated Computer Services (ACS)</b> had a data breach in 2007, in Georgia. A computer disk containing  personal information including addresses, birthdates, dates of eligibility,  full names, Medicaid or childrens health care recipient identification  numbers, and Social Security numbers went missing from a private vendor,  affiliated Computer Services (ACS), contracted to handle health care  claims for the state. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,Fresenius Medical Care,5,8,NA,NA,Clearing House,MED,Maryland,200002468,Waltham,11-Feb-14,2014,Maryland Attorney General,PHYS,,"'<b>Fresenius Medical Care</b> had a data breach in 2014, in Maryland.  [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,"One Love Organics, Inc.",5,0,NA,NA,Clearing House,MED,Georgia,200002296,Saint Simons Island,28-Oct-14,2014,Maryland Attorney General,HACK,"Customer account info, name, email address, billing and shipping address, phone number and credit card info was breached via Website.","'<b>One Love Organics, Inc.</b> had a data breach in 2014, in Georgia. Customer account info, name, email address, billing and shipping address, phone number and credit card info was breached via Website. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
180111,"180,111",Millennium Medical Management Resources,5,"180,111",Midwest,,Clearing House,MED,Illinois,100058100,Westmont,5/4/2010,2010,Dataloss DB,PORT,"Health records belonging to patients were stolen in a break-in. The records were on a portable hard drive and stolen from the Westmont office of Millennium Medical Management Resources. Millenium believes the hard drive contained personally identifiable information about EHP patients including name, address, phone, date of birth, and Social Security number. In some cases other information such as diagnosis, procedure (and/or codes), medical record number, account number, drivers license number and health insurance info. It was NOT encrypted.","'<b>Millennium Medical Management Resources</b> had a data breach in 2010, in Illinois. Health records belonging to patients were stolen in a break-in. The records were on a portable hard drive and stolen from the Westmont office of Millennium Medical Management Resources. Millenium believes the hard drive contained personally identifiable information about EHP patients including name, address, phone, date of birth, and Social Security number. In some cases other information such as diagnosis, procedure (and/or codes), medical record number, account number, drivers license number and health insurance info. It was NOT encrypted. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,TotalBank,5,63,NA,NA,Clearing House,MED,Maryland,200002366,,9-Jul-14,2014,Maryland Attorney General,HACK,"Name, address, account number, account balance, and personal identification number (SSN, DLN, passport number, alien registration number) were breached via Network Server.","'<b>TotalBank</b> had a data breach in 2014, in Maryland. Name, address, account number, account balance, and personal identification number (SSN, DLN, passport number, alien registration number) were breached via Network Server. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
NA,NA,Farmers and Merchants Trust Company of Chambersburg,5,6,NA,NA,Clearing House,MED,Pennsylvania,200002472,Chambersburg,7-Feb-14,2014,Maryland Attorney General,INSD,"Name, address, phone number, account number, account value, dob, and investment products were breached via Desktop Computer.","'<b>Farmers and Merchants Trust Company of Chambersburg</b> had a data breach in 2014, in Pennsylvania. Name, address, phone number, account number, account value, dob, and investment products were breached via Desktop Computer. [<a class=""BodyText"" href=""http://foreverdata.org/2000/"" >source</a>]',",
