index,Name,CatID,Total.Records,Region,Category_Name,Entity_prc,State,OrgID,Location,Date.Made.Public,Year,Source.of.Breach.Notification,Type,Month.of.Breach
27,Walgreens.com,3,-1,Midwest,Pharmacy,BSR,Illinois,100109700,Deerfield,7/13/2011,2011,PHIPrivacy.net,DISC,7
28,Rite Aid,3,0,NA,Pharmacy,BSR,Pennsylvania,200002506,Camp Hill,17-May-17,2014,Maryland Attorney General,HACK,5
29,Medco Health Solutions,4,"4,600",Midwest,Pharmacy Benefits Manager,MED,Ohio,100055300,Columbus,3/1/2006,2006,Dataloss DB,PORT,3
30,"Express Scripts, Ernst & Young",4,-1,Midwest,Pharmacy Benefits Manager,BSF,Missouri,100028100,St. Louis,2/18/2013,2013,Media,DISC,2
31,Virginia Prescription Monitoring Program,4,-1,Southeast,Pharmacy Benefits Manager,MED,Virginia,100108400,Richmond,5/4/2009,2009,Media,HACK,5
32,"Georgia Department of Community Health, Affiliated Computer Services (ACS)",5,2900000,Southeast,Clearing House,GOV,Georgia,100032800,Atlanta,4/10/2007,2007,Dataloss DB,PORT,4
33,Fresenius Medical Care,5,8,NA,Clearing House,MED,Maryland,200002468,Waltham,11-Feb-14,2014,Maryland Attorney General,PHYS,2
34,"One Love Organics, Inc.",5,0,NA,Clearing House,MED,Georgia,200002296,Saint Simons Island,28-Oct-14,2014,Maryland Attorney General,HACK,10
35,Millennium Medical Management Resources,5,"180,111",Midwest,Clearing House,MED,Illinois,100058100,Westmont,5/4/2010,2010,Dataloss DB,PORT,5
36,TotalBank,5,63,NA,Clearing House,MED,Maryland,200002366,NA,9-Jul-14,2014,Maryland Attorney General,HACK,7
37,Farmers and Merchants Trust Company of Chambersburg,5,6,NA,Clearing House,MED,Pennsylvania,200002472,NA,7-Feb-14,2014,Maryland Attorney General,INSD,2
38,BolderImage Company,5,4,NA,Clearing House,MED,Maryland,200002249,NA,20-Dec-14,2014,Maryland Attorney General,HACK,12
39,"La Jolla Group, Inc.",5,28,NA,Clearing House,MED,Maryland,200002254,NA,31-Dec-14,2014,Maryland Attorney General,HACK,12
40,USAA,5,16,NA,Clearing House,MED,Texas,200002357,San Antonio,31-Jul-14,2014,Maryland Attorney General,DISC,7
41,"American Residuals and Talent, Inc.",5,47,NA,Clearing House,MED,Maryland,200002259,NA,25-Nov-14,2014,US Department of Health and Human Services,HACK,11
42,Deltek GovWin IQ,5,0,NA,Clearing House,MED,Virginia,200002456,NA,7-Apr-14,2014,Maryland Attorney General,HACK,4
43,Polyone Designed Structures and Solutions,5,0,NA,Clearing House,MED,Maryland,200002383,NA,16-Jun-14,2014,Maryland Attorney General,HACK,6
44,"Pacific Biosciences of California, Inc.",5,16,NA,Clearing House,MED,Maryland,200002310,NA,24-Sep-14,2014,Maryland Attorney General,PHYS,9
45,Penn Highlands Brookville,5,2,NA,Clearing House,MED,Maryland,200002285,NA,9-Oct-14,2014,Maryland Attorney General,HACK,10
46,"SourceMedia, Inc.",5,0,NA,Clearing House,MED,Maryland,200002361,NA,29-Jul-14,2014,Maryland Attorney General,HACK,7
47,Apple Leisure Group and AMResorts,5,27,NA,Clearing House,MED,Maryland,200002244,NA,15-Dec-14,2014,Maryland Attorney General,HACK,12
48,Oak Assosiates Funds,5,12,NA,Clearing House,MED,Ohio,200002479,NA,27-Feb-14,2014,Maryland Attorney General,PHYS,2
49,Holiday Motel,5,17,NA,Clearing House,MED,Maryland,200002262,NA,1-Dec-14,2014,Maryland Attorney General,HACK,12
50,PharMerica Corporation,5,135,NA,Clearing House,MED,Maine,200002810,NA,12-Jan-18,2017,Government Agency,UNKN,1
51,Viator,5,"8,421",NA,Clearing House,MED,Maryland,200002313,NA,18-Sep-14,2014,Maryland Attorney General,HACK,9
52,State Farm Mutual Automobile Insurance Company,6,0,NA,Life Insurance Company,BSF,Illinois,200000662,NA,7-Jun-16,2016,California Attorney General,INSD,6
53,Benjamin F. Edwards & Company,6,0,NA,Life Insurance Company,BSF,Missouri,200000122,St. Louis,27-Jun-14,2014,NA,HACK,6
54,CoreLogic/Credco,6,0,NA,Life Insurance Company,BSF,California,200002598,San Diego,29-Aug-17,2017,NA,HACK,8
55,DLD Accountancy,6,0,NA,Life Insurance Company,BSF,California,200001174,Los Angeles,17-Apr-17,2017,California Attorney General,HACK,4
56,"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",6,"9,769",NA,Life Insurance Company,NGO,Maryland,200002847,Rockville,19-Jan-18,2017,Security Breach Letter,HACK,1
57,Flurish Inc.dba LendUp,6,0,NA,Life Insurance Company,BSF,California,200000642,San Francisco,16-May-16,2016,California Attorney General,DISC,5
58,State Farm Insurance,6,-1,Midwest,Life Insurance Company,BSF,Illinois,100090000,Bloomington,10/12/2010,2010,Databreaches.net,INSD,10
59,"Transamerica Financial Life Insurance Company, Aegon Insurance Group",6,-1,Midwest,Life Insurance Company,BSF,Iowa,100096200,Cedar Rapid,1/11/2007,2007,Dataloss DB,INSD,1
60,"Ken Waterman, CPA",6,0,NA,Life Insurance Company,BSF,California,200000636,Santa Rosa,3-May-16,2016,California Attorney General,HACK,5
61,Farmers Insurance,6,-1,West,Life Insurance Company,BSF,California,100029300,San Diego,10/12/2010,2010,Databreaches.net,STAT,10
62,Farmers Insurance,6,-1,Southeast,Life Insurance Company,BSF,Tennessee,100029400,Nashville,11/24/2009,2009,Databreaches.net,HACK,11
63,The Saint Louis Trust Company,6,90,NA,Life Insurance Company,BSF,Missouri,200002890,St. Louis,15-Feb-18,2018,Security Breach Letter,HACK,2
64,Yeo & Yeo CPAs & Business Consultants,6,0,NA,Life Insurance Company,BSF,Michigan,200002216,Lansing,12-Jun-17,2017,Vermont Attorney General,HACK,6
65,AFLAC  American Family Life Assurance Co.,6,612,Southeast,Life Insurance Company,BSF,South Carolina,100001600,Greenville,8/22/2006,2006,Dataloss DB,PORT,8
66,New York Life Insurance Company,6,-1,Northeast,Life Insurance Company,BSF,Massachusetts,100062200,Boston,9/27/2006,2006,Dataloss DB,STAT,9
67,"Lincoln Financial Group, Lincoln National Life Insurance Company, Lincoln Life and Annuity Company of New York",6,-1,Northeast,Life Insurance Company,BSF,New York,100049900,New York,8/23/2011,2011,Databreaches.net,DISC,8
68,Beaumont Hospital,6,"28,473",Midwest,Life Insurance Company,MED,Michigan,100008600,Troy,8/22/2006,2006,Dataloss DB,PORT,8
69,Lincoln National Life Insurance,6,"26,840",Northeast,Life Insurance Company,BSF,Pennsylvania,100050200,Radnor,7/21/2010,2010,Databreaches.net,DISC,7
70,New York Life Insurance Company,6,114,West,Life Insurance Company,BSF,California,100062100,Sacramento,6/26/2010,2010,Databreaches.net,INSD,6
71,Group Life Hospital and Medical Program,6,"3,000",NA,Life Insurance Company,MED,Connecticut,200001786,NA,29-Feb-16,2016,US Department of Health and Human Services,HACK,2
72,John Hancock Life Insurance Company (U.S.A.),6,"1,715",NA,Life Insurance Company,MED,Massachusetts,200002693,NA,6-Oct-17,2017,US Department of Health and Human Services,DISC,10
73,Hartford Life Insurance Company,6,300,Northeast,Life Insurance Company,BSF,Connecticut,100035900,Hartford,4/6/2011,2011,Databreaches.net,HACK,4
74,Hartford Life Insurance Company,6,526,Northeast,Life Insurance Company,BSF,Connecticut,100036000,Simsbury Center,9/12/2007,2007,Dataloss DB,HACK,9
75,Intuit,6,0,NA,Life Insurance Company,BSF,California,200001195,San Diego,11-May-17,2017,Vermont Attorney General,HACK,5
76,Edgar & Associates LLP,6,0,NA,Life Insurance Company,BSF,California,200001162,Sacramento,6-Apr-17,2017,California Attorney General,HACK,4
77,American Express Company,6,0,NA,Life Insurance Company,BSF,New York,200000039,New York,7-Apr-14,2014,California Attorney General,CARD,4
78,Broadview Mortgage,6,0,NA,Life Insurance Company,BSF,California,200000930,La Mesa,17-Oct-16,2016,California Attorney General,HACK,10
79,Minnesota Life Insurance Company,6,0,NA,Life Insurance Company,BSF,Minnesota,200000888,St. Paul,18-Dec-15,2015,Maryland Attorney General,DISC,12
80,Oppenheimer Funds,6,0,NA,Life Insurance Company,BSF,Colorado,200000291,Denver,15-Jan-15,2015,California Attorney General,DISC,1
81,Principal Financial Group,6,-1,Midwest,Life Insurance Company,BSF,Iowa,100074500,Des Moines,5/14/2010,2010,Databreaches.net,HACK,5
82,Anderson & Murison,6,-1,NA,Life Insurance Company,BSF,California,200000176,Los Angeles,7-Aug-14,2014,California Attorney General,DISC,8
83,"First Priority Life Insurance Company, Blue Cross of Northeastern Pennsylvania, Penn Foster",6,500,Northeast,Life Insurance Company,MED,Pennsylvania,100029900,Scranton,9/30/2011,2011,PHIPrivacy.net,PHYS,9
84,Meepos & Company CPA's,6,0,NA,Life Insurance Company,BSF,California,200002528,Marina Del Rey,30-Jun-17,2017,California Attorney General,HACK,6
85,Capital One,6,0,NA,Life Insurance Company,BSF,Virginia,200001081,Tysons Corner,6-Feb-17,2017,California Attorney General,HACK,2
86,"Jeffrey Born, CPA, Inc.",6,250,NA,Life Insurance Company,BSF,Oregon,200002817,Portland,26-Jan-18,2017,Security Breach Letter,PHYS,1
87,BajaBound.com (Mexican Insurance Services),6,0,NA,Life Insurance Company,BSF,California,200000561,Baja,8-Feb-16,2016,California Attorney General,HACK,2
88,Oak Associates Funds,6,0,NA,Life Insurance Company,BSF,Massachusetts,200000074,Boston,27-Feb-14,2014,Vermont Attorney General,PORT,2
89,Municipal Bond Insurance Association (MBIA),6,0,NA,Life Insurance Company,BSF,New York,200000223,Purchase,7-Oct-14,2014,Krebs On Security,DISC,10
90,Buyers Protection Group,6,0,NA,Life Insurance Company,BSF,Georgia,200000393,Alpharetta,20-Aug-15,2015,California Attorney General,PORT,8
91,Capital One,6,0,NA,Life Insurance Company,BSF,Utah,200000018,Salt Lake City,4-Mar-14,2014,Vermont Attorney General,INSD,3
92,Daintree Advisors LLC,6,74,NA,Life Insurance Company,BSF,Massachusetts,200002922,Boston,8-Feb-18,2018,Security Breach Letter,HACK,2
93,Dow Jones & Company,6,"3,500",NA,Life Insurance Company,BSF,New York,200000434,New York,12-Oct-15,2015,Media,HACK,10
94,Bluegrass Communit Federal Credit Union,6,0,NA,Life Insurance Company,BSF,Kentucky,200000105,Ashland,22-May-14,2014,New Hampshire Attorney General,UNKN,5
95,Experian,6,0,NA,Life Insurance Company,BSF,California,200000421,Costa Mesa,14-Feb-14,2014,Vermont Attorney General,HACK,2
96,Fidelity National Financial,6,0,NA,Life Insurance Company,BSF,Florida,200000235,Jacksonville,3-Nov-14,2014,California Attorney General,HACK,11
97,Blucora (TaxAct),6,0,NA,Life Insurance Company,BSF,Iowa,200002174,Cedar Rapids,11-Jan-16,2016,Vermont Attorney General,HACK,1
98,Gallant Risk and Insurances Services,6,0,NA,Life Insurance Company,BSF,California,200000354,Corona,3-Jun-15,2015,California Attorney General,PORT,6
99,Genworth,6,0,NA,Life Insurance Company,BSF,New York,200000779,New York,4-Nov-15,2015,Vermont Attorney General,DISC,11
100,George Hills Company Inc.,6,0,NA,Life Insurance Company,MED,California,200000485,Sacramento,8-Dec-15,2015,California Attorney General,DISC,12
101,Hallmark Home Mortgage,6,"2,816",NA,Life Insurance Company,BSF,Ohio,200002843,Columbus,12-Jan-18,2017,Security Breach Letter,INSD,1
102,"ADP, LLC.",6,0,NA,Life Insurance Company,BSF,New Jersey,200000353,Roseland,5-May-16,2016,Media,HACK,5
103,Metropolitan Life Insurance Company (MetLife) of Connecticut,6,-1,Northeast,Life Insurance Company,BSF,Connecticut,100057400,Bloomfield,1/24/2012,2012,Databreaches.net,DISC,1
104,"ING U.S. Financial Services, Jackson Health System",6,-1,Southeast,Life Insurance Company,BSF,Florida,100042100,Miami,6/18/2006,2006,Dataloss DB,PORT,6
105,Insurance Services Office (ISO),6,0,NA,Life Insurance Company,BSF,New Jersey,200000358,Jersey City,13-Jul-15,2015,California Attorney General,HACK,7
106,Intuit,6,0,NA,Life Insurance Company,BSF,California,200000334,San Diego,2-Apr-15,2015,California Attorney General,UNKN,4
107,"Jackson National Life Insurance Company, INVEST Financial Corporation",6,-1,Midwest,Life Insurance Company,BSF,Michigan,100043400,Lansing,12/20/2007,2007,Dataloss DB,HACK,12
108,Kellog & Andelson Global Management,6,-1,NA,Life Insurance Company,BSF,California,200000332,Woodland Hills,10-Apr-15,2015,California Attorney General,HACK,4
109,"Kevin J. Palmer and Company, An Accounting Corporation",6,0,NA,Life Insurance Company,BSF,California,200002524,Visalia,20-Jul-17,2017,California Attorney General,HACK,7
110,UnityPoint Health,6,"16,000",NA,Life Insurance Company,MED,Iowa,200002982,West Des Moines,20-Apr-18,2018,Media,HACK,4
111,"Guaranteed Rate, Inc.",6,"187,788",NA,Life Insurance Company,BSF,Illinois,200002841,Chicago,12-Jan-18,2017,Security Breach Letter,HACK,1
112,Total Bank,6,"72,500",NA,Life Insurance Company,BSF,Florida,200000138,Miami,17-Jul-14,2014,Media,HACK,7
113,Caliber Home Loans,6,0,NA,Life Insurance Company,BSF,Oklahoma,200002557,Oklahoma City,22-Jun-17,2017,California Attorney General,HACK,6
114,Deboer Income Tax,6,7,NA,Life Insurance Company,BSF,California,200001094,Big Bear Lake,17-Feb-17,2017,California Attorney General,HACK,2
115,Security Mutual Life Insurance Company of New York,6,167,Northeast,Life Insurance Company,BSF,New York,100082600,New York,3/31/2006,2006,Dataloss DB,PORT,3
116,Capital Financial Group,6,0,NA,Life Insurance Company,BSF,Tennessee,200000771,Brentwood ,11-Nov-15,2015,Vermont Attorney General,STAT,11
117,Charge Anywhere LLC,6,0,NA,Life Insurance Company,BSF,New Jersey,200000265,South Plainfield,9-Dec-14,2014,Krebs On Security,HACK,12
118,National Credit Adjusters,6,0,NA,Life Insurance Company,BSF,Kansas,200000094,Hutchinson,4-Jun-14,2014,California Attorney General,UNKN,6
119,Charles Schwab,6,0,NA,Life Insurance Company,BSF,California,200000865,San Francisco,3-May-16,2016,Vermont Attorney General,HACK,5
120,Placemark Investments,6,11,NA,Life Insurance Company,BSF,Texas,200000113,Addison,23-May-14,2014,Maryland Attorney General,HACK,5
121,Premier America Credit Union,6,0,NA,Life Insurance Company,BSF,California,200000911,Woodland Hills,22-Sep-16,2016,California Attorney General,INSD,9
122,Massachusetts Mutual Life Insurance Company,6,0,NA,Life Insurance Company,BSF,Massachusetts,200002599,Springfield,29-Aug-17,2017,California Attorney General,HACK,8
123,Massachusetts Mutual Life Insurance Company,6,27,NA,Life Insurance Company,BSF,Massachusetts,200002895,Springfield,15-Feb-18,2018,Security Breach Letter,HACK,2
124,Metropolitan Life Insurance Company (MetLife),6,-1,Northeast,Life Insurance Company,BSF,New York,100057300,New York,8/10/2010,2010,Databreaches.net,INSD,8
125,Mount Olympus Mortgage Company,6,-1,NA,Life Insurance Company,BSF,California,200000168,Irvine,20-Jun-14,2014,California Attorney General,INSD,6
126,Allianz Life Insurance Company of North America,6,5,NA,Life Insurance Company,MED,Maryland,200002233,NA,26-Dec-14,2014,Maryland Attorney General,DISC,12
127,"Freedom Management Group, LLC",6,155,NA,Life Insurance Company,MED,Maryland,200002331,NA,12-Aug-14,2014,Maryland Attorney General,HACK,8
128,Washington National Insurance Company,6,1,NA,Life Insurance Company,MED,Maryland,200002369,NA,23-Jul-14,2014,Maryland Attorney General,HACK,7
129,Metropolitan Life Insurance Company,6,10,NA,Life Insurance Company,MED,Maryland,200002328,NA,24-Sep-14,2014,Maryland Attorney General,DISC,9
130,John Hancock Life & Health Insurance Company,6,0,NA,Life Insurance Company,MED,Maryland,200002460,NA,18-Feb-14,2014,Maryland Attorney General,DISC,2
131,J. Palmer & Company,6,0,NA,Life Insurance Company,BSF,California,200002514,NA,20-Jul-17,2017,California Attorney General,HACK,7
132,Union Labor Life Insurance Company,6,0,NA,Life Insurance Company,BSF,District Of Columbia,200002746,Washington,17-Oct-17,2017,California Attorney General,HACK,10
133,Bank of Manhatten Mortgage Lending,6,0,NA,Life Insurance Company,BSF,New York,200000348,Manhattan,25-Jun-15,2015,California Attorney General,DISC,6
134,Variable Annuity Life Insurance Company,6,"25,855",NA,Life Insurance Company,MED,Texas,200002480,Houston,26-Feb-14,2014,Maryland Attorney General,INSD,2
135,Transamerica Premier Life Insurance Company,6,1,NA,Life Insurance Company,MED,Maryland,200002234,NA,23-Dec-14,2014,Maryland Attorney General,DISC,12
136,National Domestic Workers,6,18,NA,Life Insurance Company,MED,Maryland,200002287,NA,10-Oct-14,2014,Maryland Attorney General,HACK,10
137,Matthews Carter and Boyce CPA Advisors,6,0,NA,Life Insurance Company,BSF,Virginia,200002582,Fairfax ,9-Mar-17,2017,Maryland Attorney General,DISC,3
138,Aflac,6,0,NA,Life Insurance Company,BSF,Georgia,200002575,Columbus,16-Mar-17,2017,Maryland Attorney General,HACK,3
139,Pioneer Bank ,6,0,NA,Life Insurance Company,BSF,New York,200000304,New York,3-Mar-15,2015,Media,PORT,3
140,Institute of Electrical and Electronics Engineers (IEEE),6,-1,Northeast,Life Insurance Company,NGO,New York,100042400,New York,4/20/2011,2011,Databreaches.net,DISC,4
141,Balasa Dinverno Foltz LLC,6,-1,NA,Life Insurance Company,BSF,Illinois,200002888,Chicago,15-Feb-18,2018,Security Breach Letter,HACK,2
142,Jackson National Life Insurance Company,6,-1,Midwest,Life Insurance Company,BSF,Michigan,100043300,Lansing,6/15/2011,2011,Databreaches.net,DISC,6
143,"Lincoln National Life Insurance Company, Lincoln Life & Annuity Company of New York",6,-1,Northeast,Life Insurance Company,BSF,New York,100050300,New York,7/26/2011,2011,Databreaches.net,DISC,7
144,"Wheeler, Egger, CPA's LLP",6,45,NA,Life Insurance Company,BSF,California,200000884,Sonora,11-Sep-16,2016,California Attorney General,HACK,9
145,"Ascensus, Inc. ",6,0,NA,Life Insurance Company,BSF,Pennsylvania,200000904,Dresher,19-Sep-16,2016,California Attorney General,DISC,9
146,"Inspire Homes Loans, Inc.",6,"2,414",NA,Life Insurance Company,BSF,California,200002913,Irvine,9-Feb-18,2017,Security Breach Letter,HACK,2
147,"Friedman & Perry, CPA's",6,0,NA,Life Insurance Company,BSF,California,200001120,Fremont,3-Mar-17,2017,California Attorney General,HACK,3
148,Ondracek & Company,6,0,NA,Life Insurance Company,BSF,California,200001135,Santa Barbara,13-Mar-17,2017,California Attorney General,HACK,3
149,"Cascade Health Services, LLC",6,700,NA,Life Insurance Company,MED,Washington,200002880,Seattle,19-Feb-18,2018,Security Breach Letter,INSD,2
150,Toyota Financial Services,6,0,NA,Life Insurance Company,BSF,California,200000489,Anaheim,15-Dec-15,2015,California Attorney General,DISC,12
151,Anchor Loans,6,0,NA,Life Insurance Company,BSF,California,200001014,Los Angeles,9-Dec-16,2016,California Attorney General,DISC,12
152,"M Holdings Securities, Inc. ",6,0,NA,Life Insurance Company,BSF,Oregon,200000862,Portland,1-Sep-16,2016,Maryland Attorney General,PORT,9
153,Principal Life Insurance Company,6,1,NA,Life Insurance Company,BSF,Iowa,200002910,Des Moines,13-Feb-18,2018,Security Breach Letter,DISC,2
154,Quincy Credit Union,6,670,NA,Life Insurance Company,BSF,Massachusetts,200000507,Boston,27-Dec-15,2015,Media,HACK,12
155,"Southern National Bancorp of Virginia, Inc. d/b/a/ Sonabank",6,"24,999",NA,Life Insurance Company,BSF,Virginia,200002875,Glen Allen,26-Feb-18,2017,Security Breach Letter,HACK,2
156,Summit Financial Group,6,662,NA,Life Insurance Company,BSF,California,200000345,La Mesa,22-Jun-15,2015,California Attorney General,DISC,6
157,Tax Slayer,6,"8,800",NA,Life Insurance Company,BSF,Georgia,200000546,Evans,1-Feb-16,2016,Media,HACK,2
158,Hutchinson and Bloodgood LLP,6,0,NA,Life Insurance Company,BSF,California,200001134,San Diego,10-Mar-17,2017,California Attorney General,HACK,3
159,The Union Labor Life Insurance Company,6,664,NA,Life Insurance Company,MED,Maryland,200002683,NA,19-Oct-17,2017,US Department of Health and Human Services,DISC,10
160,The Union Labor Life Insurance Company,6,"42,713",NA,Life Insurance Company,MED,Maryland,200001352,NA,27-Jun-14,2014,US Department of Health and Human Services,PHYS,6
161,Trustmark Mutual Holding Company,6,0,NA,Life Insurance Company,BSF,Illinois,200000346,Lake Forest,22-Jun-15,2015,California Attorney General,DISC,6
162,American Neighborhood Mortgage Acceptance Company LLC d/b/a AnnieMac Home Mortgage,6,109,NA,Life Insurance Company,BSF,New Jersey,200002881,Mount Laurel,19-Feb-18,2018,Security Breach Letter,HACK,2
163,Voya Financial Advisor's Inc. ,6,0,NA,Life Insurance Company,BSF,New York,200000606,New York,21-Apr-16,2016,California Attorney General,HACK,4
164,Northwestern Mutual Life,6,0,NA,Life Insurance Company,BSF,Wisconsin,200000863,Milwaukee,4-Feb-16,2016,Vermont Attorney General,PORT,2
165,HSBC SBN,6,0,NA,Life Insurance Company,BSF,New York,200002176,Depew,13-Jan-16,2016,Vermont Attorney General,DISC,1
166,Walk in the Word Ministries,6,0,NA,Life Insurance Company,NGO,Illinois,200002507,Elgin,13-Jul-17,2014,Maryland Attorney General,HACK,7
167,"Movement Mortgage, LLC",6,0,NA,Life Insurance Company,BSF,South Carolina,200002509,Indian Land,10-Jul-17,2014,Maryland Attorney General,HACK,7
168,Hilderbrand and Clark Certified Public Accountant,6,0,NA,Life Insurance Company,BSF,California,200002520,San Ramon,27-Jul-17,2017,California Attorney General,HACK,7
169,"Massood & Company, P.A.",6,0,NA,Life Insurance Company,BSF,New Jersey,200001193,Totowa,12-May-17,2017,Vermont Attorney General,HACK,5
170,"Osceola Medical Center, Hils Transcription Service",8,-1,Midwest,Transcription,MED,Wisconsin,100070200,Osceola,1/14/2011,2011,HHS via PHIPrivacy.net,HACK,1
171,"Pamlico Medical Equipment, LLC (Now Vidant Internal Medicine)",14,-1,Southeast,Medical Devices,MED,North Carolina,100070800,Washington,8/3/2012,2012,HHS via PHIPrivacy.net,PORT,8
172,"CardioNet, Inc.",14,-1,Northeast,Medical Devices,MED,Pennsylvania,100014800,Conshohocken,3/22/2012,2012,HHS via PHIPrivacy.net,PORT,3
173,Kaiser Permanente Northern California,14,-1,NA,Medical Devices,MED,California,200000805,Oakland,12-Jul-16,2016,NA,INSD,7
174,"DJO, Empi Recovery Services",14,"68,857",Midwest,Medical Devices,MED,Minnesota,100025500,St. Paul,12/12/2008,2008,NA,PORT,12
175,Apria,14,"65,700",Southwest,Medical Devices,MED,Arizona,100004900,Phoenix,8/13/2012,2012,PHIPrivacy.net,PORT,8
176,"Ebony Medical Equipment and Supplies, Inc.",14,-1,Southwest,Medical Devices,MED,Texas,100026500,Tyler,6/18/2010,2010,PHIPrivacy.net,INSD,6
177,"Medical Solutions Management, Inc.",14,-1,Northeast,Medical Devices,MED,New York,100055600,Hicksville,9/27/2012,2012,PHIPrivacy.net,PHYS,9
178,EZ Step,14,-1,West,Medical Devices,MED,California,100028300,San Jose,12/17/2012,2012,PHIPrivacy.net,INSD,12
179,HyCentral Medical Supplies and Equipment,14,-1,Northeast,Medical Devices,MED,New Hampshire,100041100,Derry,2/4/2010,2010,PHIPrivacy.net,INSD,2
180,"CardioNet, Inc.",14,-1,Northeast,Medical Devices,MED,Pennsylvania,100014900,Conshohocken,3/22/2012,2012,HHS via PHIPrivacy.net,PORT,3
181,Sawicki and Phelps,15,-1,Midwest,Employer,BSO,Minnesota,100082000,Minneapolis,11/18/2011,2011,PHIPrivacy.net,PHYS,11
182,The Boeing Corporation,15,0,NA,Employer,BSO,Washington,200001088,Seattle,8-Feb-17,2017,California Attorney General,DISC,2
183,1st Mariner Bank,15,"1,500",NA,Employer,BSF,Maryland,200002991,Baltimore,5-Feb-18,2017,Security Breach Letter,HACK,2
184,Boeing,15,"36,000",NA,Employer,BSO,Washington,200001104,Seattle,27-Feb-17,2017,Media,DISC,2
