OrgID,Name,SourceType
4420,"Around The Table, Llc",DischargeFOIA
1750,Arrowhead Orthopaedics,DischargeFOIA
5440,"Artower Advisory Services, Llc",DischargeFOIA
1760,Ascent Surgical Partners,DischargeFOIA
10320,Ascoa,DischargeFOIA
100005500,Ashley and Gray DDS,Breaches
5450,Aspen Healthcare Metrics,DischargeFOIA
9590,Associated Press,DischargeFOIA
960,"Astellas Pharma US, Inc.",DischargeFOIA
100005600,Athens Regional Health Services,Breaches
100005700,Atlanta Perinatal Associates,Breaches
100005800,Atlanta Veterans Affairs Medical Center,Breaches
1770,Atlantic Health System,DischargeFOIA
1780,Auburn Regional Medical Center,DischargeFOIA
10860,Augusta Orthopaedic Associates,DischargeFOIA
100005900,Ault Chiropractic Center,Breaches
100006000,Aultman Health Foundation,Breaches
100006100,Aurora St. Lukes Medical Center,Breaches
4430,Ausley & Mc Mullen,DischargeFOIA
100006200,Austin Center for Therapy and Assessment,Breaches
4770,Austin/Travis County Health and Human Services Department (HHSD),DischargeFOIA
1330,Av Med Health Plans,DischargeFOIA
100006300,Avalon Center,Breaches
100006400,Avalon Centers,Breaches
100006500,AvMed Health Plans,Breaches
100006600,Awklein,Breaches
5460,Axene Health Partners,DischargeFOIA
100006700,Ayuda Medical Case Management,Breaches
100006800,Azure Acres,Breaches
100006900,Back and Joint Institute of Texas,Breaches
6960,Baker Institiute/Rice University,DischargeFOIA
100007000,Baltimore County Department of Health,Breaches
9600,Bangor Daily News,DischargeFOIA
9420,Bank Of America Merrill Lynch/ Healthcare Finance,DischargeFOIA
1790,Banner Health,DischargeFOIA
1800,Baptist Health,DischargeFOIA
100007100,Baptist Health,Breaches
100007200,Baptist Medical Center,Breaches
100007300,Baptist Memorial Hospital,Breaches
100007400,Baptist Physicians Lexington,Breaches
100007500,"Barnes-Jewish Hospital, The Siteman Cancer Center, Washington University",Breaches
4440,"Barr, Murman & Tonelli, P.A.",DischargeFOIA
1810,Bassett Healthcare,DischargeFOIA
5470,"Bates White, Llc",DischargeFOIA
100007600,Battleground Urgent Care/Prompt Med,Breaches
1820,Bay Care Health System,DischargeFOIA
100007700,Bay Pines VA Medical Center,Breaches
6970,Baylor College Of Medicine,DischargeFOIA
1830,Baylor Health Care System,DischargeFOIA
100007800,Baylor Health Care System Inc.,Breaches
100007900,"Baylor Health Care Systems, Baylor Heart and Vascular System, Baylor University Medical Center",Breaches
6980,Baylor University,DischargeFOIA
100008000,Baystate Medical Center,Breaches
100008100,BB&T Insurance,Breaches
100008200,"BDO USA, Rubios Restaurants, Inc.",Breaches
100008300,Beacon Medical Services,Breaches
100008400,Beacon Medical Services,Breaches
100008500,Bear Valley Community Hospital,Breaches
100008600,Beaumont Hospital,Breaches
100008700,"Beauty Dental, Inc.",Breaches
100008800,Beebe Medical Center,Breaches
100008900,Behavioral Health Services of Pickens County,Breaches
1840,Bellevue Hospital (Nyc),DischargeFOIA
100009000,Bellin Health,Breaches
100009100,Bend Ophthamology,Breaches
100009200,"Benefits Resources, Inc.",Breaches
5480,Berkeley Research Group,DischargeFOIA
100009300,Berkely HeartLab (BHL),Breaches
1850,Bert Fish Medical Center,DischargeFOIA
5490,Besler Consulting,DischargeFOIA
1860,Beth Israel Deaconess Medical Center,DischargeFOIA
100009400,Beth Israel Deaconess Medical Center,Breaches
100009500,"Beth Israel Deaconess Medical Center, Affiliated Physicians Group (APG)",Breaches
1870,Bethesda Healthcare System,DischargeFOIA
6990,"Biddle Law Library, University Of Pennsylvania",DischargeFOIA
5500,Bill J. Crouch & Associates:,DischargeFOIA
5510,"Biome Analytics, Inc.",DischargeFOIA
5520,Bishop & Associates,DischargeFOIA
1880,Bjc Health System,DischargeFOIA
10240,Bloodsource,DischargeFOIA
9610,Bloomberg News,DischargeFOIA
100009600,Blount memorial Hospital,Breaches
1340,Blue Cross & Blue Shield Of Florida,DischargeFOIA
100009700,Blue Cross and Blue Shield of Florida (BCBSF),Breaches
100009800,Blue Cross and Blue Shield of Georgia,Breaches
100009900,Blue Cross and Blue Shield of North Carolina,Breaches
100010000,Blue Cross and Blue Shield of Rhode Island (BCBSRI),Breaches
100010100,Blue Cross Blue Shield Association,Breaches
100010200,Blue Cross Blue Shield Florida,Breaches
100010300,Blue Cross Blue Shield of Alabama,Breaches
100010400,Blue Cross Blue Shield of Massachusetts (BCBS),Breaches
100010500,"Blue Cross Blue Shield of Michigan (BCBSM), Tstream Software",Breaches
100010600,Blue Island Radiology,Breaches
5530,Blue Sky Consulting Group,DischargeFOIA
100010700,Blue-Cross Blue-Shield of Western New York,Breaches
100010800,BlueCross Blue Shield of North Carolina,Breaches
100010900,BlueCross BlueShield (BCBST),Breaches
100011000,"BlueCross BlueShield of Western New York, HealthNow New York Inc., Administrative Services of Kansas",Breaches
1890,Boca Raton Community Hospital,DischargeFOIA
100011100,Boca Raton Regional Hospital,Breaches
100011200,"Bon Secours Hampton Roads Health System, Bon Secours Mary Immaculate Hospital",Breaches
60,Bon Secours Health System,DischargeFOIA
100011300,Bonney Lake Medical Center,Breaches
100011400,Booker T. Washington Community Center,Breaches
5540,Booz Allen Hamilton,DischargeFOIA
1900,Borland-Groover Clinic,DischargeFOIA
100011500,Boston Childrens Hospital,Breaches
1910,Boston Medical Center,DischargeFOIA
1160,Boston Scientific Corporation,DischargeFOIA
7000,Boston University,DischargeFOIA
7010,Boston University School Of Medicine,DischargeFOIA
100011600,Boulder Community Hospital,Breaches
100011700,"Boulder Community Hospital, Family Medical Associates",Breaches
9430,"Bradwish Financial Services, Inc.",DischargeFOIA
100011800,Brandywyne Healthcare Center,Breaches
4450,"Brasfield, Freeman, Goldis & Cash, P.A.",DischargeFOIA
100011900,Brentwood Primary Care Clinic,Breaches
10060,Brian Fulfrost And Associates,DischargeFOIA
100012000,Brigham and Womens Hospital,Breaches
1920,Bringham Womens Hospital,DischargeFOIA
970,"Bristol-Myers Squibb, Co.",DischargeFOIA
1930,Bronx-Lebanon Hospital Center,DischargeFOIA
100012100,Brooke Army Medical Center,Breaches
100012200,"Broward County School Board, Private Medical Practices",Breaches
1940,Broward Health/North Broward Hosp. Dist.,DischargeFOIA
4780,Broward Regional Health Planning Council,DischargeFOIA
7020,Brown University,DischargeFOIA
100012300,Brownsville Independent School District,Breaches
100012400,Buckeye Community Health Plan,Breaches
5550,Burns Consulting,DischargeFOIA
100012500,Butler County Department of Job and Family Services,Breaches
100012600,Butler County Department of Mental Retardation & Developmental Disabilities,Breaches
4790,Ca Dept Of Public Health,DischargeFOIA
10870,Ca Nurses Association - Ihsp,DischargeFOIA
10720,Ca Wic Association,DischargeFOIA
100012700,Cabinet for Health and Family Services,Breaches
10820,Caduceus Therapeutics,DischargeFOIA
100012800,Cahaba Government Benefit Administrators LLC,Breaches
7030,Cal State Fresno/Central Valley Health Policy Inst,DischargeFOIA
10880,Cal/Acep California Chapter,DischargeFOIA
10890,California Ambulatory Surgery Association,DischargeFOIA
10900,California Association Of Public Hospitals,DischargeFOIA
100012900,California Department of Developmental Services,Breaches
100013000,California Department of Developmental Services,Breaches
100013100,California Department of Health Care Services,Breaches
100013200,California Department of Health Care Services,Breaches
100013300,California Department of Health Services,Breaches
100013400,California Department of Health Services,Breaches
100013500,California Department of Health Services (CDHS),Breaches
4800,California Department Of Healthcare Services,DischargeFOIA
100013600,California Department of Healthcare Services,Breaches
100013700,California Department of Public Health,Breaches
100013800,California Department of Public Health (CDPH),Breaches
100013900,California Department of Public Health (CDPH),Breaches
100014000,"California Department of Public Health, Bakersfield Memorial Hospital",Breaches
10420,California Dept. Of Mental Health,DischargeFOIA
7040,California Healthcare Foundation,DischargeFOIA
10910,California Hospital Association,DischargeFOIA
1350,California Medical Assistance Commission,DischargeFOIA
100014100,California Mens Colony (CMC),Breaches
320,California Office of Statewide Health Planning & Development,DischargeSurvey
7050,California State University Northridge,DischargeFOIA
7060,"California State University, Sacramento",DischargeFOIA
100014200,California Therapy Solutions,Breaches
9620,California Watch/Center For Investigative Reportin,DischargeFOIA
10270,California Workers Compensation Institute,DischargeFOIA
100014300,CalOptima,Breaches
7070,Calpirg,DischargeFOIA
100014400,Cancer Care Group,Breaches
100014500,Cancer Care Northwest,Breaches
5560,Capgemini,DischargeFOIA
1360,Capital District Physicians Health Plan,DischargeFOIA
1370,Capital Health Plan,DischargeFOIA
100014600,Capron Rescue Squad District,Breaches
100014700,Cardiology Consultant Inc.,Breaches
100014800,"CardioNet, Inc.",Breaches
100014900,"CardioNet, Inc.",Breaches
100015000,"Carewise Health, Hewlett-Packard Enterprise Services",Breaches
100015100,Carle Clinic Association,Breaches
4460,Carlton Fields,DischargeFOIA
7080,Carnegie Mellon University,DischargeFOIA
5570,Caro Research,DischargeFOIA
100015200,Carolina Center for Development and Rehabilitation,Breaches
100015300,Carolinas HealthCare System,Breaches
100015400,"Carolinas Medical Center, NorthEast",Breaches
100015500,Carrell Clinic,Breaches
1950,Cary Medical Center,DischargeFOIA
100015600,Casa Del Sol Day Care,Breaches
1960,Cascade Medical Center,DischargeFOIA
1970,Cascade Valley Hospital,DischargeFOIA
7090,Case Western Reserve University,DischargeFOIA
5580,"Casemix Consulting, Llc",DischargeFOIA
5590,Castlight Health,DischargeFOIA
100015700,"Catalyst Health Solutions, Alliant Health Plans, Inc.",Breaches
1980,Catholic Health Services,DischargeFOIA
100015800,Catholic Social Services,Breaches
5600,Cattaneo & Stroud Inc,DischargeFOIA
100015900,CBIZ Medical Management Professionals,Breaches
9630,Cbs News,DischargeFOIA
100016000,CCS Medical,Breaches
9030,Cdc/Ncipc/Duip,DischargeFOIA
4810,Cdph Child And Adolescent Health,DischargeFOIA
610,"Cecil G. Sheps Center for Health Services Research, University of North Carolina at Chapel Hill",DischargeSurvey
7100,Cedar Grove Institute,DischargeFOIA
1990,Cedars-Sinai Medical Center,DischargeFOIA
100016100,Cedars-Sinai Medical Center,Breaches
980,Celgene Coporation,DischargeFOIA
1380,Centene Corporation,DischargeFOIA
9640,Center For California Health Care Journalism,DischargeFOIA
4820,"Center For Community Health, Monroe Cnty Doh",DischargeFOIA
7110,Center For Economic Development Ca State Uiversity Chico,DischargeFOIA
560,Center for Health Information Analysis at University of Nevada at Las Vegas,DischargeSurvey
7120,Center For Healthcare Evaluation Palo Alto,DischargeFOIA
7130,Center For Policy Analysis,DischargeFOIA
820,Centers for Disease Control and Prevention (CDC),DischargeFOIA
100016200,Centers for Medicare & Medicaid Services (CMS),Breaches
100016300,Centerstone,Breaches
100016400,Centra,Breaches
2000,Central & Western Maine Regional PHO,DischargeFOIA
100016500,"Central Brooklyn Medical Group PC, Preferred Health Partners",Breaches
100016600,Central Collection Bureau,Breaches
100016700,Central Florida Regional Hospital,Breaches
2010,Central Maine Health Care Corporation,DischargeFOIA
100016800,Central New England HealthAlliance,Breaches
5610,Central New York Health Systems Agency,DischargeFOIA
100016900,Central States Southeast and Southwest Areas Health and Welfare Fund,Breaches
2020,Central Washington Hospital,DischargeFOIA
100017000,Centro de Ortodancia,Breaches
5620,Charles Franc & Associates Inc,DischargeFOIA
7140,Charles R. Drew University,DischargeFOIA
7150,Charles R. Drew University Of Medicine And Science,DischargeFOIA
100017100,Charleston Area Medical Center (CAMC),Breaches
100017200,Charlie Norwood VA Medical Center,Breaches
10070,Charlotte Property Appraiser,DischargeFOIA
100017300,Chattanooga Family Practice Associates,Breaches
100017400,Chautauqua County Department of Social Services,Breaches
100017500,Chesapeake Wound Care Center,Breaches
9650,Chicago Tribune,DischargeFOIA
100017600,Child and Family Services of New Hampshire,Breaches
100017700,Child Protective Services,Breaches
100017800,Childrens Health Council,Breaches
1390,Childrens Healthcare Of Atlanta,DischargeFOIA
2030,Childrens Hospital & Research Center- Oakland,DischargeFOIA
100017900,Childrens Hospital and Research Center at Oakland,Breaches
10920,Childrens Hospital Association Of Texas,DischargeFOIA
2090,Childrens Hospital Boston,DischargeFOIA
2040,Childrens Hospital DC,DischargeFOIA
2050,Childrens Hospital KC,DischargeFOIA
2100,Childrens Hospital La,DischargeFOIA
2060,Childrens Hospital Of Central California,DischargeFOIA
100018000,Childrens Hospital of Orange County,Breaches
100018100,Childrens Hospital of Philadelphia,Breaches
2070,Childrens Hospital PA,DischargeFOIA
2080,Childrens Medical Center TX,DischargeFOIA
2110,Chilton Hospital,DischargeFOIA
2120,Choc Childrens Hospital,DischargeFOIA
5630,"Christian Companies, Llc",DischargeFOIA
100018200,Christus Health Care,Breaches
100018300,CHRISTUS St. John Hospital,Breaches
100018400,Christus St. Josephs Hospital,Breaches
100018500,Cigna Dental,Breaches
2130,Cincinnati Childrens Hospital Medical Center,DischargeFOIA
100018600,Cincinnati Childrens Hospital Medical Center,Breaches
2140,Citrus Valley Medical Center,DischargeFOIA
100018700,City of Charlotte,Breaches
2150,City Of Hope National Medical Center,DischargeFOIA
100018800,City of Monroeville,Breaches
9260,"City Of Oviedo, FL",DischargeFOIA
9270,"City of Seattle, WA",DischargeFOIA
100018900,"City of Virginia Beach, Flexible Benefits Administrators",Breaches
4470,Civil Justice Clinic,DischargeFOIA
2160,Clallam County Hospital District #1,DischargeFOIA
7160,Claremont Mc Kenna College,DischargeFOIA
2170,Cleveland Clinic,DischargeFOIA
100019000,Cleveland Clinic,Breaches
6840,Clinical Outcomes Assessment Program (Coap),DischargeFOIA
5640,Cm Research,DischargeFOIA
9660,Cnn Washington Bureau,DischargeFOIA
100019100,"Coastal Behavioral Healthcare, Inc.",Breaches
100019200,Coliseum Hospital,Breaches
2180,College Hospital Cerritos,DischargeFOIA
7170,College Of William & Mary,DischargeFOIA
100019300,Colorado Board of Dental Examiners,Breaches
100019400,Colorado Department of Health Care Policy and Financing,Breaches
100019500,Colorado Department of Health Care Policy and Financing (HCPF),Breaches
100019600,Colorado Health Department,Breaches
330,Colorado Hospital Association,DischargeSurvey
100019700,Colorado Mental Health Institute Fort Logan,Breaches
100019800,Colorado Springs Hospital - Memorial Health System,Breaches
100019900,"Colt Express Outsourcing Services, CNET Networks",Breaches
7180,Columbia University,DischargeFOIA
100020000,Columbia University Medical Center,Breaches
2190,Columbia Valley Community Health,DischargeFOIA
100020100,Columbia-St. Marys Ozaukee Hospital,Breaches
100020200,Comfort Dental Offices,Breaches
100020300,Commerce Banc Insurance Services (CBIS),Breaches
10280,Commission On Health And Safety And Workers Compensation CA,DischargeFOIA
9140,"Committee Of Interns And Residents, Seiu",DischargeFOIA
7190,Community And Local Neighborhood Research,DischargeFOIA
7200,Community Attributes,DischargeFOIA
7210,Community Health Councils  Inc,DischargeFOIA
100020400,"Community Health Network, Community Health Medcheck",Breaches
5650,Community Hospital Corporation,DischargeFOIA
2200,Community Hospital Of The Monterey Peninsula,DischargeFOIA
2210,"Community Oriented Correctional Health Services,In",DischargeFOIA
2220,Community Regional Medical Center,DischargeFOIA
2230,Community Regional Medical Center-Fresno,DischargeFOIA
5660,Companion Management Group,DischargeFOIA
170,Comparion Medical Analytics,DischargeFOIA
100020500,Compass Health,Breaches
4480,Compass Lexecon,DischargeFOIA
5670,Competition Economics Llc,DischargeFOIA
10080,Complex Property Advisors Corp.,DischargeFOIA
100020600,Computer Sciences Corporation,Breaches
100020700,"Concentra Medical Center, Concentra Health",Breaches
100020800,Concord Hospital,Breaches
100020900,Concordia Plan Services (CPS),Breaches
2240,Connally Memorial Medical Center,DischargeFOIA
340,Connecticut Office of Health Care Access,DischargeSurvey
100021000,"Connextions, Anthem Blue Cross Blue Shield of Indiana, Anthem Blue Cross Blue Shield of Ohio, Empire Blue Cross Blue Shield of Indiana",Breaches
11190,Consumers for Affordable Health Care,DischargeFOIA
100021100,Contra Costa County,Breaches
100021200,Conway Regional Medical Center,Breaches
2250,Cook Childrens Health Care System,DischargeFOIA
100021300,Cook County Health and Hospital Systems,Breaches
100021400,Cook County Health and Hospital Systems (CCHHS),Breaches
2260,"Coral View Surgery Center, Llc",DischargeFOIA
10250,Cord Blood Bank,DischargeFOIA
100021500,Cord Blood Registry,Breaches
7220,Cornell University,DischargeFOIA
5680,Cornerstone Research,DischargeFOIA
5690,"Corrigo Health Care Solutions, Llc",DischargeFOIA
2270,Coulee Community Hospital,DischargeFOIA
4830,County Of La- Dept Of Health Services,DischargeFOIA
9280,"County Of Sacramento, CA",DischargeFOIA
4840,County Of San Bernardino Public Health,DischargeFOIA
9290,"County Of San Diego, CA",DischargeFOIA
9300,"County Of Ventura, CA",DischargeFOIA
100021600,Courage to Change,Breaches
1400,Covenant Health System,DischargeFOIA
1410,Coventry Health Care,DischargeFOIA
100021700,Cover Tennessee,Breaches
9070,Cpm Health Grades Marketing Group,DischargeFOIA
100021800,"Crescent Health Inc., Walgreens",Breaches
2280,Crozer-Keystone,DischargeFOIA
100021900,Cumberland County Emergency Medical Service,Breaches
100022000,Cumberland Gastroenterology P.S.C.,Breaches
7230,Cuny,DischargeFOIA
100022100,CVS Caremark,Breaches
100022200,CVS Caremark,Breaches
100022300,CVS Caremark Corp.,Breaches
100022400,CVS Pharmacies,Breaches
100022500,CVS Pharmacy,Breaches
10930,Dallas Fort Worth Hospital Council,DischargeFOIA
2290,Dallas Regional Medical Center,DischargeFOIA
7240,Dartmouth Medical School,DischargeFOIA
2300,Dartmouth-Hitchcock Medical Center,DischargeFOIA
5700,Data Advantage Llc,DischargeFOIA
5710,Data Resource Management Inc,DischargeFOIA
120,DataBay Resources,DischargeFOIA
7250,David Geffen School Of Medicine At University Of Californiala,DischargeFOIA
5720,David Siedenstrang Consultant,DischargeFOIA
2310,Dayton General Hospital,DischargeFOIA
100022600,Dayton VA Medical Center,Breaches
9670,Daytona Beach News-Journal,DischargeFOIA
5730,Dc Analytics,DischargeFOIA
100022700,DC Chartered Health Plan,Breaches
10940,Dc Hospital Association,DischargeFOIA
10430,"Dcf, Substance Abuse & Mental Health",DischargeFOIA
4490,"De Beaubien, Knight, Simmons, Mantzaris & Neal, Llp",DischargeFOIA
100022800,Deaconess Hospital,Breaches
2320,Deaconess Medical Center,DischargeFOIA
100022900,Dean Clinic and St. Marys Hospital,Breaches
100023000,Dearfield Medical Building,Breaches
100023100,Defense Finance and Accounting Service/ Defense Departmentãs Document Automation and Production Service,Breaches
100023200,DeKalb Medical - Hillandale,Breaches
350,"Delaware Health Statistics Center, Division of Public Health",DischargeSurvey
5740,Deloitte Consulting,DischargeFOIA
100023300,Delta Dental,Breaches
100023400,Delta Dental of Illinois,Breaches
100023500,"Delta Dental of Pennsylvania, ZDI",Breaches
100023600,"Delta Dental, The Smile Center",Breaches
100023700,DENT Neurologic Institute of Amherst,Breaches
100023800,DENT Neurological Institute,Breaches
100023900,DentaQuest,Breaches
100024000,Dentistry at the Crest,Breaches
7260,"Department Of Economics, Drexel University",DischargeFOIA
7270,"Department Of Economics, Tulane University",DischargeFOIA
4880,Department of Health FL,DischargeFOIA
4890,"Department of Health FL, Bureau Of Environmental Public Health Medicine",DischargeFOIA
7280,"Department of Health Management and Policy, University of New Hampshire",DischargeFOIA
7290,Department Of Health Policy Mount Sinai Sch,DischargeFOIA
4900,"Department of Health, Childrens Medical Services",DischargeFOIA
7300,Department Of Internal Medicine (Not For The Hospital),DischargeFOIA
100024100,"Department of Medical Assistance Services, Affiliated Computer Services (ACS), Inc.",Breaches
4850,Department Of Public Health,DischargeFOIA
10730,"Department Of Social & Health Services, WA",DischargeFOIA
100024200,Department of Social and Health Services,Breaches
100024300,Department of Social and Health Services - Washington,Breaches
100024400,Department of Veterans Affairs,Breaches
100024500,Department of Veterans Affairs,Breaches
100024600,Department of Veterans Affairs,Breaches
10740,"Department Of Veterans Affairs, Palo Alto",DischargeFOIA
100024700,"DePaul Medical Center, Radiation Therapy Department",Breaches
100024800,Dermatology Clinic,Breaches
100024900,Desert AIDS Project (D.A.P.),Breaches
100025000,Detroits Health Department,Breaches
7310,"Developmental Research And Programs, Inc.",DischargeFOIA
100025100,Dezonia Group,Breaches
6850,Dfwhc Foundation,DischargeFOIA
4860,DHHS,DischargeFOIA
4870,DHMH,DischargeFOIA
100025200,Diabetes Direct Inc,Breaches
5750,"Dillabough & Associates, Inc.",DischargeFOIA
1420,Dirigo Health Agency,DischargeFOIA
100025300,District Council 37 Health and Security Plan of New York City,Breaches
360,District of Columbia Hospital Association,DischargeSurvey
100025400,Diversified Resources Inc.,Breaches
730,"Division of Health Care Administration, Vermont State",DischargeSurvey
490,"Division of Health Care Finance and Policy, Massachusetts State",DischargeSurvey
7320,"Division Of Pediatric Cardiology, University Of Ut",DischargeFOIA
9440,"Dixon Hughes, Pllc",DischargeFOIA
100025500,"DJO, Empi Recovery Services",Breaches
1430,Dmhc,DischargeFOIA
2330,Doctors Hospital At Renaissance,DischargeFOIA
4910,"Doh, Office Of Trauma",DischargeFOIA
100025600,Doshi Diagnostic Center,Breaches
100025700,"Dr, Charles Kay of Orchard Family Practice",Breaches
100025800,"Dr. Baceskis office, internal medicine",Breaches
100025900,DRC Physical Therapy Plus,Breaches
2340,Driscoll Childrens Hospital,DischargeFOIA
4920,Dshs-Adult Chronic Disease,DischargeFOIA
10750,Dshs-Cancer Epi. & Surveillance,DischargeFOIA
10760,Dshs-Community Preparedness Section,DischargeFOIA
10770,Dshs-Emerg & Acute Infec Disease,DischargeFOIA
7330,Dshs-Environmental Epidemiology And Disease - Birth Defects Epi And Surveillance,DischargeFOIA
9040,Dshs-Hiv/Std Prevention & Care Branch,DischargeFOIA
9050,Dshs-Infectious Disease Branch,DischargeFOIA
10780,Dshs-Region 9/10,DischargeFOIA
10790,Dshs-Tower Library- Chsu,DischargeFOIA
7340,Duke University,DischargeFOIA
100026000,Duke University Health System (DUHS),Breaches
100026100,Duke University Medical Center,Breaches
100026200,Dunes Family Health Care P.C.,Breaches
9160,Dynafios Llc,DischargeFOIA
10350,E M T Associates,DischargeFOIA
100026300,"E-Pro Tax Service, Emory Healthcare",Breaches
2350,East Adams Rural Hospital,DischargeFOIA
2360,East Texas Medical Center,DischargeFOIA
2370,Eastern Maine Health Systems,DischargeFOIA
100026400,Eastmoreland Surgical Clinic and Vein Center,Breaches
2380,Eastside Midwives,DischargeFOIA
100026500,"Ebony Medical Equipment and Supplies, Inc.",Breaches
100026600,"Ecco Health, LLC, Colon & Digestive Health Specialists",Breaches
5760,Ecg Management + Consultants,DischargeFOIA
5770,"Econometrica, Inc.",DischargeFOIA
7350,Economic Roundtable,DischargeFOIA
5780,Economist Incorporated,DischargeFOIA
9170,Ehealth Contracts,DischargeFOIA
100026700,Eisenhower Medical Center (EMC),Breaches
100026800,El Centro Regional Medical Center,Breaches
100026900,Electronic Data Systems,Breaches
100027000,Electronic Data Systems Corp. (EDS),Breaches
100027100,Electronic Registry Systems,Breaches
100027200,Emory Healthcare,Breaches
100027300,"Emory Healthcare, Emory University Hospital",Breaches
